Country;Year;Both sexes;Male;Female
Afghanistan;2019;63.2;63.3;63.2
Albania;2019;78.0;76.3;79.9
Algeria;2019;77.1;76.2;78.1
Angola;2019;63.1;60.7;65.5
Antigua and Barbuda;2019;76.5;74.9;78.0
Argentina;2019;76.6;73.5;79.5
Armenia;2019;76.0;72.5;79.2
Australia;2019;83.0;81.3;84.8
Austria;2019;81.6;79.4;83.8
Azerbaijan;2019;71.4;68.8;74.1
Bahamas;2019;73.2;69.9;76.6
Bahrain;2019;75.8;75.0;77.0
Bangladesh;2019;74.3;73.0;75.6
Barbados;2019;76.0;74.3;77.7
Belarus;2019;74.8;69.7;79.6
Belgium;2019;81.4;79.3;83.5
Belize;2019;74.4;71.4;77.8
Benin;2019;63.4;61.2;65.7
Bhutan;2019;73.1;72.0;74.4
Bolivia (Plurinational State of);2019;72.1;71.1;73.1
Bosnia and Herzegovina;2019;76.8;74.4;79.1
Botswana;2019;62.2;58.9;65.5
Brazil;2019;75.9;72.4;79.4
Brunei Darussalam;2019;74.3;73.4;75.4
Bulgaria;2019;75.1;71.6;78.6
Burkina Faso;2019;62.7;60.1;65.2
Burundi;2019;63.8;61.5;66.1
Cabo Verde;2019;74.0;69.9;77.9
Cambodia;2019;70.1;67.2;72.7
Cameroon;2019;62.4;60.3;64.5
Canada;2019;82.2;80.4;84.1
Central African Republic;2019;53.1;50.2;56.3
Chad;2019;59.6;58.0;61.3
Chile;2019;80.7;78.1;83.2
China;2019;77.4;74.7;80.5
Colombia;2019;79.3;76.7;81.9
Comoros;2019;67.4;65.9;68.9
Congo;2019;64.7;63.8;65.6
Costa Rica;2019;80.8;78.3;83.4
Côte d'Ivoire;2019;62.9;60.5;65.8
Croatia;2019;78.6;75.5;81.6
Cuba;2019;77.8;75.4;80.3
Cyprus;2019;83.1;81.1;85.1
Czechia;2019;79.1;76.3;81.9
Democratic People's Republic of Korea;2019;72.6;69.3;75.7
Democratic Republic of the Congo;2019;62.4;60.0;64.8
Denmark;2019;81.3;79.6;83.0
Djibouti;2019;65.8;64.1;67.8
Dominican Republic;2019;72.8;69.8;76.2
Ecuador;2019;78.4;76.4;80.5
Egypt;2019;71.8;69.6;74.1
El Salvador;2019;75.0;70.6;79.1
Equatorial Guinea;2019;62.2;60.9;63.6
Eritrea;2019;64.1;61.3;67.1
Estonia;2019;78.9;74.7;82.6
Eswatini;2019;57.7;53.4;63.2
Ethiopia;2019;68.7;66.9;70.5
Fiji;2019;68.0;65.9;70.3
Finland;2019;81.6;79.2;84.0
France;2019;82.5;79.8;85.1
Gabon;2019;66.5;63.6;69.7
Gambia;2019;65.5;63.4;67.7
Georgia;2019;73.3;68.8;77.8
Germany;2019;81.7;78.7;84.8
Ghana;2019;66.3;63.7;69.2
Greece;2019;81.1;78.6;83.6
Grenada;2019;72.9;70.6;75.3
Guatemala;2019;72.0;69.0;75.0
Guinea;2019;61.0;59.5;62.3
Guinea-Bissau;2019;60.2;57.4;63.0
Guyana;2019;65.7;62.5;69.4
Haiti;2019;64.1;63.3;64.8
Honduras;2019;71.9;70.7;73.2
Hungary;2019;76.4;73.1;79.6
Iceland;2019;82.3;80.8;83.9
India;2019;70.8;69.5;72.2
Indonesia;2019;71.3;69.4;73.3
Iran (Islamic Republic of);2019;77.3;75.7;79.1
Iraq;2019;72.4;69.9;75.0
Ireland;2019;81.8;80.2;83.5
Israel;2019;82.6;80.8;84.4
Italy;2019;83.0;80.9;84.9
Jamaica;2019;76.0;74.4;77.7
Japan;2019;84.3;81.5;86.9
Jordan;2019;77.9;77.0;78.8
Kazakhstan;2019;74.0;70.0;77.6
Kenya;2019;66.1;63.7;68.4
Kiribati;2019;59.4;56.1;62.8
Kuwait;2019;81.0;79.3;83.9
Kyrgyzstan;2019;74.2;70.7;77.3
Lao People's Democratic Republic;2019;68.5;66.2;70.9
Latvia;2019;75.4;70.6;79.8
Lebanon;2019;76.4;74.0;79.2
Lesotho;2019;50.7;47.7;54.2
Liberia;2019;64.1;63.2;65.0
Libya;2019;75.8;74.2;77.3
Lithuania;2019;76.0;71.2;80.4
Luxembourg;2019;82.4;80.6;84.2
Madagascar;2019;65.3;64.1;66.6
Malawi;2019;65.6;62.3;68.9
Malaysia;2019;74.7;72.6;77.1
Maldives;2019;79.6;78.6;80.8
Mali;2019;62.8;62.2;63.4
Malta;2019;81.9;79.9;83.8
Mauritania;2019;68.4;68.1;68.7
Mauritius;2019;74.1;71.0;77.3
Mexico;2019;76.0;73.1;78.9
Micronesia (Federated States of);2019;63.0;60.3;66.0
Mongolia;2019;68.1;63.8;72.8
Montenegro;2019;75.9;73.2;78.7
Morocco;2019;73.0;71.7;74.3
Mozambique;2019;58.1;54.5;61.7
Myanmar;2019;69.1;65.9;72.2
Namibia;2019;64.6;60.6;68.4
Nepal;2019;70.9;68.9;72.7
Netherlands;2019;81.8;80.4;83.1
New Zealand;2019;82.0;80.4;83.5
Nicaragua;2019;75.0;72.1;77.9
